filename,l_min,l_max,b_min,b_max
GaiaSource_185174-186938_p.csv.gz,89.352,109.672,29.628,49.195
GaiaSource_186939-188926_p.csv.gz,82.401,119.903,29.079,61.438
GaiaSource_188927-191879_p.csv.gz,95.098,136.136,40.36,58.363
GaiaSource_191880-194042_p.csv.gz,96.282,130.853,28.796,49.858
GaiaSource_194043-195959_p.csv.gz,103.12,128.312,28.089,44.175
GaiaSource_195960-196976_p.csv.gz,52.38,276.334,-33.011,60.192
GaiaSource_196977-197459_p.csv.gz,47.998,58.794,-31.117,-19.716
GaiaSource_197460-198140_p.csv.gz,51.817,67.324,-34.802,-19.534
GaiaSource_198141-198695_p.csv.gz,49.621,67.885,-32.866,-14.872
GaiaSource_198696-199005_p.csv.gz,49.478,58.223,-25.199,-15.831
GaiaSource_199006-199284_p.csv.gz,50.062,59.631,-23.931,-13.613
GaiaSource_199285-199493_p.csv.gz,50.395,57.856,-20.801,-12.442
GaiaSource_200518-201151_p.csv.gz,56.153,78.039,-35.878,-15.022
GaiaSource_202883-203400_p.csv.gz,63.952,75.734,-27.491,-16.183
GaiaSource_203401-203842_p.csv.gz,65.631,78.947,-26.838,-13.921
GaiaSource_203843-204437_p.csv.gz,71.358,83.681,-27.811,-16.463
GaiaSource_204438-204827_p.csv.gz,51.091,83.532,-33.866,-2.181
GaiaSource_204828-204960_p.csv.gz,50.806,56.14,-15.738,-9.904
GaiaSource_204961-205073_p.csv.gz,51.737,57.785,-15.878,-8.827
GaiaSource_205074-205233_p.csv.gz,54.129,59.822,-16.728,-10.497
GaiaSource_205234-205346_p.csv.gz,51.606,60.098,-15.919,-6.682
GaiaSource_205347-205424_p.csv.gz,52.227,56.244,-11.953,-7.343
GaiaSource_205425-205483_p.csv.gz,51.799,56.407,-11.202,-5.862
GaiaSource_205484-205542_p.csv.gz,53.039,56.581,-9.982,-5.838
GaiaSource_205543-205624_p.csv.gz,53.567,58.582,-12.29,-6.391
GaiaSource_205625-205724_p.csv.gz,55.695,60.401,-12.759,-7.454
GaiaSource_205725-205802_p.csv.gz,55.877,60.184,-11.285,-6.559
GaiaSource_205803-205976_p.csv.gz,55.081,64.606,-17.937,-7.491
GaiaSource_205977-206183_p.csv.gz,58.816,66.797,-19.027,-10.33
GaiaSource_206184-206374_p.csv.gz,58.778,67.944,-18.116,-8.442
GaiaSource_206375-206497_p.csv.gz,58.928,64.062,-13.76,-8.193
GaiaSource_206498-206604_p.csv.gz,59.595,65.512,-13.666,-7.087
GaiaSource_206605-206756_p.csv.gz,62.198,67.771,-14.627,-8.785
GaiaSource_206757-206857_p.csv.gz,52.613,68.047,-16.822,-0.911
GaiaSource_206858-206892_p.csv.gz,52.586,55.16,-7.414,-4.384
GaiaSource_206893-206931_p.csv.gz,53.43,56.228,-7.89,-4.362
GaiaSource_206932-206974_p.csv.gz,54.48,57.346,-7.858,-4.678
GaiaSource_206975-207000_p.csv.gz,52.923,56.868,-7.165,-2.865
